model,decomposition,n,R2,RMSE,MAE,MAPE
Wavelet-SARIMA-LSTM,causal,64,0.9977886742998558,1.5927744965628372,1.2652154909907005,0.515261331759781
Wavelet-SARIMA-LSTM,full-series,64,0.9982232743407778,1.4277038271501006,1.1195446207307223,0.458997671959332
VMD-LSTM,causal,64,0.9947070861341004,2.464196575987339,1.913148693100036,0.7689138205975983
VMD-LSTM,full-series,64,0.9973040804406483,1.7586580378524956,1.2723390074424414,0.5110891493225709
