heads,key_dim,lookback,val_rmse_mean,val_rmse_sd
8,16,12,1.722970309455557,0.07766724709861317
2,16,12,1.7246544573981166,0.07459984970098033
4,16,12,1.729722997618273,0.06675353338219042
4,8,12,1.736629442655343,0.08772748758123843
8,8,12,1.7392637784688592,0.07987432366779872
2,8,12,1.7542969472444785,0.09699631696114802
