warmup,train_months,rmse_causal,rmse_full_series,premium_pct,vs_published_pct
48,204,3.4961237240679353,1.8354675791455524,47.499924945165176,32.685252725641774
36,216,3.3281686454533026,1.6217315759722821,51.27255410606155,26.311004040126857
24,228,3.477761933341382,1.7830449582487442,48.730103082828876,31.988384126205244
12,240,3.1079523666802054,1.7478639787224113,43.76155833464681,17.953332827819096
