model,decomposition,R2,RMSE,MAE,MAPE
SARIMA (reference),-,0.9985148262481987,1.3053187279528422,0.9370214577673459,0.3838296242624216
Wavelet-SARIMA-LSTM,causal,0.9977886744028831,1.5927744594586006,1.2652154631674377,0.5152613203116059
Wavelet-SARIMA-LSTM,full-series,0.9982232743539339,1.4277038218642726,1.1195446321394185,0.4589976764267973
VMD-LSTM,causal,0.9893458778701338,3.496123550833805,2.5098898169260457,0.9942695450718825
VMD-LSTM,full-series,0.9970634492797551,1.8354674606766253,1.3436099311780159,0.5399445992746449
